[21796:21740:1101/104358.393:WARNING:chrome_main_delegate.cc(613)] This is Chrome version 118.0.5993.118 (not a warning)
[21796:21740:1101/104358.569:INFO:policy_logger.cc(142)] :components\enterprise\browser\controller\chrome_browser_cloud_management_controller.cc(168) Starting CBCM Controller Initialization
[21796:21740:1101/104358.569:INFO:policy_logger.cc(142)] :components\enterprise\browser\controller\chrome_browser_cloud_management_controller.cc(196) No machine level policy manager exists.
[21796:21740:1101/104400.820:INFO:CONSOLE(0)] "Fetch event handler is recognized as no-op. No-op fetch handler may bring overhead during navigation. Consider removing the handler if possible.", source:  (0)
[21796:21740:1101/111419.441:INFO:CONSOLE(2)] "0", source: https://www.olx.com.pk/assets/sentry.d62e665948e684eb42a1.js (2)
[21796:21740:1101/111502.342:INFO:CONSOLE(2)] "[Cable::context] Initializing CableContext", source: https://www.olx.com.pk/assets/sentry.d62e665948e684eb42a1.js (2)
[21796:21740:1101/111503.034:INFO:CONSOLE(2)] "0", source: https://www.olx.com.pk/assets/sentry.d62e665948e684eb42a1.js (2)
[21796:21740:1101/111546.396:INFO:CONSOLE(2)] "[Cable::context] Initializing CableContext", source: https://www.olx.com.pk/assets/sentry.d62e665948e684eb42a1.js (2)
[21796:21740:1101/111546.529:INFO:CONSOLE(2)] "0", source: https://www.olx.com.pk/assets/sentry.d62e665948e684eb42a1.js (2)
[21796:21740:1101/111617.048:INFO:CONSOLE(2)] "[Cable::context] Initializing CableContext", source: https://www.olx.com.pk/assets/sentry.d62e665948e684eb42a1.js (2)
[21796:21740:1101/111617.155:INFO:CONSOLE(2)] "0", source: https://www.olx.com.pk/assets/sentry.d62e665948e684eb42a1.js (2)
[21796:21740:1101/111700.262:INFO:CONSOLE(2)] "[Cable::context] Initializing CableContext", source: https://www.olx.com.pk/assets/sentry.d62e665948e684eb42a1.js (2)
[21796:21740:1101/111700.827:INFO:CONSOLE(2)] "0", source: https://www.olx.com.pk/assets/sentry.d62e665948e684eb42a1.js (2)
[21796:21740:1101/111744.959:INFO:CONSOLE(2)] "[Cable::context] Initializing CableContext", source: https://www.olx.com.pk/assets/sentry.d62e665948e684eb42a1.js (2)
[21796:21740:1101/111745.063:INFO:CONSOLE(2)] "0", source: https://www.olx.com.pk/assets/sentry.d62e665948e684eb42a1.js (2)
[21796:21740:1101/111827.001:INFO:CONSOLE(2)] "[Cable::context] Initializing CableContext", source: https://www.olx.com.pk/assets/sentry.d62e665948e684eb42a1.js (2)
[21796:21740:1101/111827.117:INFO:CONSOLE(2)] "0", source: https://www.olx.com.pk/assets/sentry.d62e665948e684eb42a1.js (2)
[21796:21740:1101/111908.997:INFO:CONSOLE(2)] "[Cable::context] Initializing CableContext", source: https://www.olx.com.pk/assets/sentry.d62e665948e684eb42a1.js (2)
[21796:21740:1101/111909.076:INFO:CONSOLE(2)] "0", source: https://www.olx.com.pk/assets/sentry.d62e665948e684eb42a1.js (2)
[21796:21740:1101/111952.741:INFO:CONSOLE(2)] "[Cable::context] Initializing CableContext", source: https://www.olx.com.pk/assets/sentry.d62e665948e684eb42a1.js (2)
[21796:21740:1101/111952.874:INFO:CONSOLE(2)] "0", source: https://www.olx.com.pk/assets/sentry.d62e665948e684eb42a1.js (2)
[21796:21740:1101/112038.101:INFO:CONSOLE(2)] "[Cable::context] Initializing CableContext", source: https://www.olx.com.pk/assets/sentry.d62e665948e684eb42a1.js (2)
[21796:21740:1101/112038.293:INFO:CONSOLE(2)] "0", source: https://www.olx.com.pk/assets/sentry.d62e665948e684eb42a1.js (2)
[21796:21740:1101/112119.750:INFO:CONSOLE(2)] "[Cable::context] Initializing CableContext", source: https://www.olx.com.pk/assets/sentry.d62e665948e684eb42a1.js (2)
[21796:21740:1101/112119.872:INFO:CONSOLE(2)] "0", source: https://www.olx.com.pk/assets/sentry.d62e665948e684eb42a1.js (2)
[21796:21740:1101/112202.533:INFO:CONSOLE(2)] "[Cable::context] Initializing CableContext", source: https://www.olx.com.pk/assets/sentry.d62e665948e684eb42a1.js (2)
[21796:21740:1101/112202.618:INFO:CONSOLE(2)] "0", source: https://www.olx.com.pk/assets/sentry.d62e665948e684eb42a1.js (2)
[21796:21740:1101/112245.167:INFO:CONSOLE(2)] "[Cable::context] Initializing CableContext", source: https://www.olx.com.pk/assets/sentry.d62e665948e684eb42a1.js (2)
[21796:21740:1101/112245.328:INFO:CONSOLE(2)] "0", source: https://www.olx.com.pk/assets/sentry.d62e665948e684eb42a1.js (2)
[21796:21740:1101/112328.474:INFO:CONSOLE(2)] "0", source: https://www.olx.com.pk/assets/sentry.d62e665948e684eb42a1.js (2)
[21796:21740:1101/112328.530:INFO:CONSOLE(2)] "[Cable::context] Initializing CableContext", source: https://www.olx.com.pk/assets/sentry.d62e665948e684eb42a1.js (2)
[21796:21740:1101/112410.460:INFO:CONSOLE(2)] "[Cable::context] Initializing CableContext", source: https://www.olx.com.pk/assets/sentry.d62e665948e684eb42a1.js (2)
[21796:21740:1101/112410.623:INFO:CONSOLE(2)] "0", source: https://www.olx.com.pk/assets/sentry.d62e665948e684eb42a1.js (2)
[21796:21740:1101/112456.904:INFO:CONSOLE(2)] "[Cable::context] Initializing CableContext", source: https://www.olx.com.pk/assets/sentry.d62e665948e684eb42a1.js (2)
[21796:21740:1101/112457.008:INFO:CONSOLE(2)] "0", source: https://www.olx.com.pk/assets/sentry.d62e665948e684eb42a1.js (2)
[21796:21740:1101/112529.660:INFO:CONSOLE(2)] "[Cable::context] Initializing CableContext", source: https://www.olx.com.pk/assets/sentry.d62e665948e684eb42a1.js (2)
[21796:21740:1101/112529.857:INFO:CONSOLE(2)] "0", source: https://www.olx.com.pk/assets/sentry.d62e665948e684eb42a1.js (2)
[21796:21740:1101/112614.134:INFO:CONSOLE(2)] "0", source: https://www.olx.com.pk/assets/sentry.d62e665948e684eb42a1.js (2)
[21796:21740:1101/112614.161:INFO:CONSOLE(2)] "[Cable::context] Initializing CableContext", source: https://www.olx.com.pk/assets/sentry.d62e665948e684eb42a1.js (2)
[21796:21740:1101/112647.292:INFO:CONSOLE(2)] "[Cable::context] Initializing CableContext", source: https://www.olx.com.pk/assets/sentry.d62e665948e684eb42a1.js (2)
[21796:21740:1101/112647.457:INFO:CONSOLE(2)] "0", source: https://www.olx.com.pk/assets/sentry.d62e665948e684eb42a1.js (2)
[21796:21740:1101/112650.761:INFO:CONSOLE(32)] "a: 0.0087890625 ms", source: https://static.adsafeprotected.com/sca.17.6.2.js (32)
[21796:21740:1101/112654.358:INFO:CONSOLE(191)] "Slow network is detected. See https://www.chromestatus.com/feature/5636954674692096 for more details. Fallback font will be used while loading: https://dco-assets.everestads.net/ics-campaign//5031/t/8819/12/SegoePro-Semibold.woff", source: https://dco-assets.everestads.net/ics-campaign//5031/t/8819/12/300x250.html (191)
[21796:21740:1101/112734.895:INFO:CONSOLE(2)] "[Cable::context] Initializing CableContext", source: https://www.olx.com.pk/assets/sentry.d62e665948e684eb42a1.js (2)
